Run,Units,Depth,Smoothed,Value,Step,Relative
20251012-141342,128,1,0.8555,0.8629,2,2.973 sec
20251012-141347,256,1,0.8671,0.8756,2,3.728 sec
20251012-141352,384,1,0.8569,0.8648,2,4.677 sec
20251012-141359,512,1,0.8627,0.869,2,5.987 sec
20251012-141409,640,1,0.8641,0.8681,2,7.619 sec
20251012-141420,768,1,0.862,0.873,2,9.316 sec
20251012-141434,896,1,0.8705,0.8743,2,11.2 sec
20251012-141451,1024,1,0.8624,0.8714,2,13.59 sec
20251012-141511,128,2,0.8544,0.8549,2,3.341 sec
20251012-141516,256,2,0.8572,0.8651,2,4.718 sec
20251012-141523,384,2,0.8562,0.863,2,6.339 sec
20251012-141533,512,2,0.8624,0.8723,2,8.361 sec
20251012-141546,640,2,0.8578,0.8629,2,15.75 min
20251012-143136,768,2,0.864,0.8741,2,13.78 sec
20251012-144839,896,2,0.866,0.8734,2,16.19 sec
20251012-144904,1024,2,0.8654,0.8733,2,20.5 sec
20251012-144934,128,3,0.8571,0.866,2,3.624 sec
20251012-144940,256,3,0.8614,0.8659,2,6.099 sec
20251012-144949,384,3,0.8561,0.8588,2,7.856 sec
20251012-145001,512,3,0.8613,0.8647,2,10.5 sec
20251012-145016,640,3,0.8581,0.8689,2,14.36 sec
20251012-145038,768,3,0.8569,0.8597,2,17.55 sec
20251012-145104,896,3,0.8558,0.8624,2,20.77 sec
20251012-145136,1024,3,0.8577,0.8747,2,26 sec
20251012-145215,128,4,0.8547,0.866,2,3.792 sec
20251012-145220,256,4,0.8576,0.8641,2,7.506 sec
20251012-145231,384,4,0.8547,0.8554,2,9.445 sec
20251012-145246,512,4,0.8588,0.8646,2,12.23 sec
20251012-145304,640,4,0.8425,0.845,2,15.71 sec
20251012-145328,768,4,0.8552,0.8557,2,22.25 sec
20251012-145401,896,4,0.8449,0.858,2,25.63 sec
20251012-145439,1024,4,0.8553,0.8664,2,32.71 sec
20251012-145528,128,5,0.8468,0.8559,2,4.474 sec
20251012-145535,256,5,0.843,0.8492,2,9.118 sec
20251012-145548,384,5,0.8459,0.8485,2,11.08 sec
20251012-145605,512,5,0.845,0.8527,2,15.78 sec
20251012-145629,640,5,0.8516,0.8543,2,19.46 sec
20251012-145659,768,5,0.8329,0.8538,2,25.46 sec
20251012-145737,896,5,0.8344,0.844,2,31.78 sec
20251012-145825,1024,5,0.846,0.8629,2,38.99 sec